n,-1.4,-1.0,-0.5,0,0.5,1.0,1.4,MAD
10.0,0.010109090909090915,0.03220909090909091,0.00968181818181818,0.054545454545454564,0.04486363636363633,0.01324545454545445,0.008072727272727231,0.054545454545454564,
30.0,0.008072727272727273,0.014027272727272722,0.018772727272727274,0.036363636363636376,0.03577272727272729,0.01324545454545445,0.010109090909090956,0.036363636363636376,
50.0,0.03738181818181818,0.01324545454545456,0.018772727272727274,0.036363636363636376,0.009681818181818236,0.014027272727272777,0.04647272727272733,0.04647272727272733,
100.0,0.008072727272727273,0.004154545454545466,0.05513636363636365,0.045454545454545414,0.018772727272727274,0.04051818181818179,0.019199999999999995,0.05513636363636365,
150.0,0.010109090909090915,0.023118181818181816,0.0005909090909090864,0.027272727272727226,0.03577272727272729,0.032209090909090965,0.001018181818181807,0.03577272727272729,
250.0,0.02829090909090909,0.03220909090909091,0.03695454545454546,0.0636363636363636,0.02668181818181814,0.03142727272727264,0.04443636363636361,0.0636363636363636,
500.0,0.05352727272727273,0.0587,0.026681818181818195,0.009090909090909094,0.0460454545454545,0.06857272727272734,0.010109090909090956,0.06857272727272734,
1000.0,0.01920000000000001,0.0413,0.046045454545454556,0.045454545454545414,0.027863636363636313,0.004936363636363739,0.019199999999999995,0.046045454545454556,
